2018/06/12 20:30:18 [error] 7#7: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: hello.dev, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2018/06/23 09:58:11 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:58:11 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:58:12 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:58:12 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:58:12 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:59:01 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:59:33 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:59:33 [error] 5#5: *1 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 09:59:35 [error] 5#5: *5 open() "/var/www/hello.dev/favicon.ico" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /favicon.ico HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/"
2018/06/23 10:49:43 [error] 5#5: *11 open() "/var/www/belka.com/assets/css/bootstrap.min.css" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/css/bootstrap.min.css HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:49:43 [error] 5#5: *12 open() "/var/www/belka.com/assets/css/template.css" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/css/template.css HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:49:44 [error] 5#5: *12 open() "/var/www/belka.com/assets/js/products.js" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/js/products.js HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:49:44 [error] 5#5: *11 open() "/var/www/belka.com/assets/js/application.min.js" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/js/application.min.js HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:49:44 [error] 5#5: *14 open() "/var/www/belka.com/assets/img/logo.png" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/img/logo.png HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:49:44 [error] 5#5: *14 open() "/var/www/belka.com/assets/js/products.js" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/js/products.js HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:49:44 [error] 5#5: *14 open() "/var/www/belka.com/assets/js/application.min.js" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/js/application.min.js HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:52:52 [error] 5#5: *18 open() "/var/www/belka.com/assets/css/bootstrap.min.css" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/css/bootstrap.min.css HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:52:52 [error] 5#5: *18 open() "/var/www/belka.com/assets/css/template.css" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/css/template.css HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:52:52 [error] 5#5: *18 open() "/var/www/belka.com/assets/js/products.js" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/js/products.js HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:52:52 [error] 5#5: *18 open() "/var/www/belka.com/assets/js/application.min.js" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/js/application.min.js HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
2018/06/23 10:52:52 [error] 5#5: *18 open() "/var/www/belka.com/assets/img/logo.png" failed (2: No such file or directory), client: 192.168.0.135, server: belka.com, request: "GET /assets/img/logo.png HTTP/1.1", host: "e-zharko", referrer: "http://e-zharko/index.html"
